id,web_name,team,element_type,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event,total_points,form,now_cost
215,Ward,7,2,0.1,5123,14353,0,0,1,0.0,43
216,Wharton,7,3,0.1,23205,58123,0,0,42,0.8,47
445,Turner,7,1,7.2,321661,1380507,0,0,0,0.0,39
585,I.Sarr,7,3,5.3,2403131,1870962,0,0,149,5.5,55
644,Umeh-Chibueze,7,3,0.0,8400,6492,0,0,0,0.0,44
645,Devenny,7,3,0.1,41584,34933,0,0,34,1.5,45
646,Agbinone,7,3,0.0,9074,8035,0,0,2,0.0,45
647,Rodney,7,3,0.0,4797,4004,0,0,0,0.0,45
650,Lacroix,7,2,0.9,224879,141184,0,0,114,2.8,45
666,Kporha,7,2,0.0,6072,5226,0,0,2,0.0,40
676,Marsh,7,4,0.2,90714,71865,0,0,0,0.0,45
730,Esse,7,3,0.1,22951,18038,0,0,22,2.8,47
741,Glasner,7,5,1.9,217927,141220,0,0,128,9.5,8
156,Broja,8,4,0.1,13420,19014,0,0,12,0.0,53
217,A.Doucoure,8,3,0.5,164611,165308,0,0,94,2.2,51
218,Beto,8,4,3.9,1436358,1072086,0,0,87,4.5,48
219,Branthwaite,8,2,1.9,382261,419180,0,0,88,2.2,49
220,Calvert-Lewin,8,4,1.0,1022531,1136648,0,0,63,1.0,54
221,Coleman,8,2,0.0,6327,8964,0,0,5,0.5,43
222,Gana,8,3,0.2,115257,106249,0,0,89,2.2,48
223,Garner,8,3,0.0,3724,4907,0,0,42,2.0,49
224,Harrison,8,3,0.2,44264,49932,0,0,81,1.8,52
225,Holgate,8,2,0.1,11786,52358,0,0,1,0.0,40
226,Iroegbunam,8,3,0.6,278892,252681,0,0,22,0.5,43
227,J.Virginia,8,1,1.0,132962,92376,0,0,0,0.0,38
228,Keane,8,2,4.3,1676451,1471444,0,0,48,4.0,38
229,Maupay,8,4,0.2,20402,164668,0,0,0,0.0,49
230,McNeil,8,3,1.4,1765302,1751563,0,0,93,5.2,51
231,Mykolenko,8,2,6.7,1637298,1780064,0,0,121,6.2,44
232,Ndiaye,8,4,1.1,1109282,1023439,0,0,114,4.5,52
234,Patterson,8,2,0.0,4539,5161,0,0,14,0.8,44
235,Pickford,8,1,15.9,2522034,2440525,0,0,158,5.5,52
236,Tarkowski,8,2,1.6,591473,656707,0,0,105,0.0,47
237,Y. Chermiti,8,4,0.0,5007,5447,0,0,3,0.2,49
