id,web_name,team,element_type,goals_scored,assists,penalties_missed,bonus,bps,influence,creativity,threat,minutes
791,Charlie Tasker,5,2,0,0,0,0,0,0.0,0.0,0.0,0
794,Freddie Simmonds,5,2,0,0,0,0,0,0.0,0.0,0.0,0
795,Harry Howell,5,3,0,0,0,0,5,2.0,0.9,6.0,6
150,Andrey Santos,6,3,0,0,0,0,0,0.0,0.0,0.0,0
151,Ângelo,6,3,0,0,0,0,0,0.0,0.0,0.0,0
153,B.Badiashile,6,2,0,0,0,0,35,66.0,12.6,0.0,332
154,Bergström,6,1,0,0,0,0,0,0.0,0.0,0.0,0
155,Bettinelli,6,1,0,0,0,0,0,0.0,0.0,0.0,0
157,Caicedo,6,3,1,4,0,4,650,627.6,568.8,95.0,3351
158,Casadei,6,3,0,0,0,0,0,0.0,0.0,0.0,0
159,Chalobah,6,2,3,1,0,11,379,496.4,124.2,222.0,1969
161,Chukwuemeka,6,3,0,0,0,0,0,0.0,0.0,0.0,0
162,Colwill,6,2,2,1,0,6,461,692.0,214.3,185.0,3150
163,Cucurella,6,2,5,2,0,14,533,668.6,350.6,358.0,2988
164,D.D.Fofana,6,4,0,0,0,0,0,0.0,0.0,0.0,0
165,Deivid,6,4,0,0,0,0,0,0.0,0.0,0.0,0
166,Dewsbury-Hall,6,3,0,1,0,1,71,57.4,47.4,21.0,257
168,Enzo,6,3,6,8,0,11,691,761.6,1131.6,517.0,2943
169,Gallagher,6,3,0,0,0,0,0,0.0,0.0,0.0,0
170,Gilchrist,6,2,0,0,0,0,0,0.0,0.0,0.0,0
171,Gusto,6,2,0,1,0,2,285,336.8,394.6,147.0,1853
172,James,6,2,1,2,0,5,223,207.6,202.1,56.0,1057
173,Kellyman,6,3,0,0,0,0,0,0.0,0.0,0.0,0
174,Lavia,6,3,0,1,0,0,125,113.2,121.7,7.0,792
175,Lukaku,6,4,0,0,0,0,0,0.0,0.0,0.0,0
176,M.Sarr,6,2,0,0,0,0,0,0.0,0.0,0.0,0
177,Madueke,6,3,7,5,0,12,425,479.2,475.1,998.0,2028
178,Marc Guiu,6,4,0,0,0,0,11,4.4,11.8,6.0,71
179,Mudryk,6,3,0,0,0,0,26,23.2,31.5,31.0,145
180,N.Jackson,6,4,10,6,0,17,417,546.4,368.3,976.0,2220
181,Nkunku,6,3,3,2,0,5,190,230.2,204.9,339.0,904
182,Palmer,6,3,15,10,1,35,952,1068.2,1259.2,1052.0,3193
183,Petrović,6,1,0,0,0,0,0,0.0,0.0,0.0,0
184,Renato Veiga,6,3,0,0,0,0,22,30.4,9.2,19.0,176
185,Sánchez,6,1,0,0,0,11,470,755.6,20.0,0.0,2880
187,Tosin,6,2,1,1,0,7,305,352.2,48.2,92.0,1403
189,W.Fofana,6,2,0,0,0,2,162,200.2,85.0,33.0,1172
386,Sancho,6,3,3,5,0,3,367,340.0,523.2,414.0,1754
560,Neto,6,3,4,6,0,9,434,492.0,762.7,545.0,2262
575,Wiley,6,2,0,0,0,0,0,0.0,0.0,0.0,0
581,Jørgensen,6,1,0,0,0,0,59,157.6,0.0,0.0,540
621,João Félix,6,3,1,2,0,0,90,88.0,95.4,141.0,362
695,Rak-Sakyi,6,3,0,0,0,0,0,0.0,0.0,0.0,0
696,George,6,3,1,1,0,0,55,67.4,72.7,32.0,177
697,Acheampong,6,2,0,0,0,0,8,13.6,2.5,13.0,168
740,Maresca,6,5,0,0,0,0,0,0.0,0.0,0.0,0
771,Amougou,6,3,0,0,0,0,2,1.0,0.9,0.0,7
774,Anselmino,6,2,0,0,0,0,0,0.0,0.0,0.0,0
781,Mheuka,6,4,0,0,0,0,5,3.0,0.0,17.0,1
782,Samuels-Smith,6,2,0,0,0,0,0,0.0,0.0,0.0,0
787,Genesis Antwi,6,2,0,0,0,0,0,0.0,0.0,0.0,0
11,Nketiah,7,4,3,2,0,4,186,192.2,163.7,475.0,1018
160,Chilwell,7,2,1,0,0,0,54,99.6,69.2,37.0,254
190,Ahamada,7,3,0,0,0,0,0,0.0,0.0,0.0,0
193,C.Doucouré,7,3,0,1,0,0,71,58.6,25.7,23.0,443
194,C.Richards,7,2,1,1,0,2,249,470.8,45.0,181.0,1921
195,Chadi Riad,7,2,0,0,0,0,3,18.2,1.3,0.0,90
196,Clyne,7,2,0,0,0,0,48,66.6,51.8,8.0,477
197,Ebiowei,7,3,0,0,0,0,0,0.0,0.0,0.0,0
199,Eze,7,3,8,8,1,15,605,685.0,849.2,691.0,2588
200,Guéhi,7,2,3,2,0,11,492,827.0,237.6,247.0,3059
201,Henderson,7,1,0,0,0,8,466,853.6,30.0,4.0,3420
202,Holding,7,2,0,0,0,0,0,0.0,0.0,0.0,0
203,Hughes,7,3,0,4,0,3,278,335.2,462.6,90.0,2100
205,Kamada,7,3,0,0,0,0,246,219.2,314.1,145.0,1545
206,Lerma,7,3,0,1,0,2,326,401.4,190.2,197.0,2270
207,Mateta,7,4,14,2,0,27,576,671.6,405.4,800.0,2642
208,M.França,7,3,1,0,0,0,34,48.4,1.2,66.0,52
209,Matthews,7,1,0,0,0,0,0,0.0,0.0,0.0,0
210,Mitchell,7,2,0,6,0,4,455,630.8,559.1,170.0,3090
211,Muñoz,7,2,4,6,0,9,480,816.6,634.2,524.0,3229
212,Ozoh,7,3,0,0,0,0,0,0.0,0.0,0.0,0
213,Rak-Sakyi,7,3,0,0,0,0,0,0.0,0.0,0.0,0
214,Schlupp,7,3,0,0,0,0,43,22.8,42.9,46.0,95
215,Ward,7,2,0,0,0,0,-3,5.8,10.3,0.0,71
216,Wharton,7,3,0,2,0,0,244,261.2,381.4,69.0,1314
445,Turner,7,1,0,0,0,0,0,0.0,0.0,0.0,0
585,I.Sarr,7,3,8,7,0,14,542,675.0,618.0,866.0,2708
644,Umeh-Chibueze,7,3,0,0,0,0,0,0.0,0.0,0.0,0
645,Devenny,7,3,1,1,0,1,129,138.8,101.8,90.0,494
646,Agbinone,7,3,0,0,0,0,4,4.0,10.6,1.0,4
