id,web_name,team,element_type,form,points_per_game,total_points,minutes,selected_by_percent,transfers_in_event,transfers_out_event
190,Ahamada,7,3,0.0,0.0,0,0,0.1,0,0
193,C.Doucouré,7,3,0.0,1.5,19,443,0.0,0,0
194,C.Richards,7,2,2.8,2.8,68,1921,0.2,0,0
195,Chadi Riad,7,2,0.0,1.0,1,90,0.0,0,0
196,Clyne,7,2,0.0,1.4,18,477,0.1,0,0
197,Ebiowei,7,3,0.0,0.0,0,0,0.0,0,0
199,Eze,7,3,8.8,4.4,148,2588,14.6,0,0
200,Guéhi,7,2,2.2,3.4,116,3059,5.7,0,0
201,Henderson,7,1,3.0,3.6,135,3420,11.7,0,0
202,Holding,7,2,0.0,0.0,0,0,0.1,0,0
203,Hughes,7,3,2.0,2.0,67,2100,0.0,0,0
205,Kamada,7,3,1.2,1.3,45,1545,0.1,0,0
206,Lerma,7,3,1.8,1.8,58,2270,0.1,0,0
207,Mateta,7,4,1.5,4.1,150,2642,8.3,0,0
208,M.França,7,3,0.5,2.2,9,52,0.2,0,0
209,Matthews,7,1,0.0,0.0,0,0,0.4,0,0
210,Mitchell,7,2,4.0,3.3,123,3090,2.1,0,0
211,Muñoz,7,2,3.8,3.8,142,3229,19.3,0,0
212,Ozoh,7,3,0.0,0.0,0,0,0.0,0,0
213,Rak-Sakyi,7,3,0.0,0.0,0,0,0.0,0,0
214,Schlupp,7,3,0.0,1.0,12,95,0.0,0,0
215,Ward,7,2,0.0,0.5,1,71,0.1,0,0
216,Wharton,7,3,0.8,2.1,42,1314,0.1,0,0
445,Turner,7,1,0.0,0.0,0,0,7.2,0,0
585,I.Sarr,7,3,5.5,3.9,149,2708,5.3,0,0
644,Umeh-Chibueze,7,3,0.0,0.0,0,0,0.0,0,0
645,Devenny,7,3,1.5,1.5,34,494,0.1,0,0
646,Agbinone,7,3,0.0,1.0,2,4,0.0,0,0
647,Rodney,7,3,0.0,0.0,0,0,0.0,0,0
650,Lacroix,7,2,2.8,3.3,114,3116,0.9,0,0
666,Kporha,7,2,0.0,1.0,2,11,0.0,0,0
676,Marsh,7,4,0.0,0.0,0,0,0.2,0,0
730,Esse,7,3,2.8,3.1,22,138,0.1,0,0
741,Glasner,7,5,9.5,0.0,128,0,1.9,0,0
156,Broja,8,4,0.0,1.2,12,327,0.1,0,0
217,A.Doucoure,8,3,2.2,2.8,94,2563,0.5,0,0
218,Beto,8,4,4.5,2.9,87,1521,3.9,0,0
219,Branthwaite,8,2,2.2,2.9,88,2509,1.9,0,0
220,Calvert-Lewin,8,4,1.0,2.4,63,1602,1.0,0,0
221,Coleman,8,2,0.5,1.0,5,214,0.0,0,0
222,Gana,8,3,2.2,2.4,89,3063,0.2,0,0
223,Garner,8,3,2.0,2.0,42,1590,0.0,0,0
224,Harrison,8,3,1.8,2.4,81,2068,0.2,0,0
225,Holgate,8,2,0.0,1.0,1,5,0.1,0,0
226,Iroegbunam,8,3,0.5,1.2,22,562,0.6,0,0
227,J.Virginia,8,1,0.0,0.0,0,0,1.0,0,0
228,Keane,8,2,4.0,3.4,48,1046,4.3,0,0
229,Maupay,8,4,0.0,0.0,0,0,0.2,0,0
230,McNeil,8,3,5.2,4.4,93,1366,1.4,0,0
231,Mykolenko,8,2,6.2,3.5,121,3082,6.7,0,0
232,Ndiaye,8,4,4.5,3.5,114,2426,1.1,0,0
234,Patterson,8,2,0.8,1.4,14,342,0.0,0,0
235,Pickford,8,1,5.5,4.2,158,3420,15.9,0,0
236,Tarkowski,8,2,0.0,3.2,105,2922,1.6,0,0
237,Y. Chermiti,8,4,0.2,0.8,3,42,0.0,0,0
238,Young,8,2,3.8,3.1,98,1864,1.4,0,0
450,Alcaraz,8,3,5.0,2.8,44,766,0.1,0,0
577,Lindstrøm,8,3,0.0,1.8,44,1229,0.1,0,0
582,O'Brien,8,2,3.2,3.2,65,1568,0.9,0,0
603,Armstrong,8,3,0.0,0.7,2,47,0.1,0,0
614,Metcalfe,8,3,0.0,0.0,0,0,0.0,0,0
624,Begovic,8,1,0.0,0.0,0,0,0.2,0,0
627,Dixon,8,2,0.0,0.0,0,90,0.1,0,0
651,Mangala,8,3,0.0,2.1,39,1257,0.0,0,0
678,Bates,8,3,0.0,0.0,0,0,0.0,0,0
724,Sherif,8,4,0.0,0.0,0,0,0.1,0,0
742,Moyes,8,5,10.8,0.0,137,0,5.3,0,0
773,Heath,8,3,0.0,0.0,0,0,0.0,0,0
775,Coby Ebere,8,3,0.0,0.0,0,0,0.0,0,0
803,Welch,8,2,0.0,0.0,0,0,0.0,0,0
10,Nelson,9,3,0.0,2.2,27,483,0.0,0,0
19,Smith Rowe,9,3,2.0,3.4,114,2036,7.3,0,0
191,Andersen,9,2,1.0,1.7,51,2673,3.4,0,0
239,Adama,9,3,3.0,2.6,95,1756,1.4,0,0
240,Andreas,9,3,1.0,2.5,81,2004,0.8,0,0
241,Bassey,9,2,0.8,2.1,75,3074,0.6,0,0
242,Benda,9,1,0.0,0.0,0,0,0.3,0,0
