id,web_name,team,element_type,clean_sheets,goals_conceded,minutes,total_points,now_cost
804,Moore,17,2,0,0,0,0,40
478,A.Phillips,18,2,0,0,0,0,40
479,Austin,18,1,0,2,90,1,40
484,Davies,18,2,3,26,1329,28,43
486,Dragusin,18,2,2,29,1250,24,43
487,E.Royal,18,2,0,0,0,0,45
488,Forster,18,1,1,15,630,19,43
495,Pedro Porro,18,2,6,47,2606,98,52
496,Reguilón,18,2,0,3,194,2,41
498,Romero,18,2,3,22,1416,49,49
504,Spence,18,2,3,39,1790,51,44
505,Udogie,18,2,2,35,1923,43,48
506,Van de Ven,18,2,2,17,1014,32,45
508,Vicario,18,1,4,37,2160,66,48
510,Whiteman,18,1,0,0,0,0,39
684,Hardy,18,2,0,0,0,0,40
699,Dorrington,18,2,0,0,13,1,40
700,King,18,2,0,0,0,0,40
716,Kinsky,18,1,1,11,540,17,41
760,Cassanova,18,2,0,0,0,0,40
767,Danso,18,2,1,18,842,16,44
388,Wan-Bissaka,19,2,6,59,3154,118,45
513,Areola,19,1,4,41,2259,69,42
516,Coufal,19,2,2,21,1056,27,41
517,Cresswell,19,2,3,8,818,36,39
520,Emerson,19,2,5,41,2108,76,44
521,Fabianski,19,1,2,21,1160,39,39
522,Foderingham,19,1,0,0,0,0,42
524,Kilman,19,2,6,62,3348,82,43
528,Mavropanos,19,2,2,39,2035,45,43
529,N.Aguerd,19,2,0,0,0,0,44
532,Zouma,19,2,0,0,0,0,44
591,Todibo,19,2,5,33,1824,54,42
643,Casey,19,2,0,0,1,1,40
677,Scarles,19,2,2,9,659,29,40
686,Mayers,19,2,0,0,0,0,40
204,Johnstone,20,1,0,17,630,12,41
533,Aït-Nouri,20,2,7,67,3112,125,51
536,Bentley,20,1,1,4,180,9,39
542,Dawson,20,2,1,25,969,17,42
543,Doherty,20,2,6,38,2105,75,43
549,H.Bueno,20,2,0,0,0,0,45
552,Hoever,20,2,0,0,0,0,40
554,José Sá,20,1,7,48,2610,93,44
556,King,20,1,0,0,1,1,39
558,Mosquera,20,2,0,12,441,3,38
559,N.Semedo,20,2,8,49,2889,84,45
561,Pedro Lima,20,2,0,2,69,2,39
564,S.Bueno,20,2,5,34,1678,52,43
567,Toti,20,2,8,45,2613,79,43
637,Meupiyou,20,2,0,0,0,0,39
664,Pond,20,2,0,0,1,1,39
711,Okoduwa,20,2,0,0,0,0,40
720,Agbadou,20,2,4,22,1410,45,40
769,Djiga,20,2,0,2,65,4,45
