id,web_name,team,element_type,now_cost,total_points,goals_scored,assists,clean_sheets,minutes,bonus,bps,influence,creativity,threat,ict_index,form,value_season
600,Ayari,5,3,50,74,2,1,7,1958,3,358,363.2,507.5,247.0,111.7,3.5,14.8
601,Moran,5,3,50,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
615,Rushworth,5,1,39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
618,Georginio,5,3,50,95,5,6,6,1651,1,288,355.4,281.8,404.0,103.0,0.0,19.0
628,F.Kadıoğlu,5,2,44,19,1,0,2,385,0,59,116.4,83.7,40.0,24.0,0.0,4.3
629,O'Riley,5,3,55,50,2,3,2,929,2,209,211.4,322.5,219.0,75.3,3.2,9.1
663,Samuels,5,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
668,Cahill,5,1,39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
681,McConville,5,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
685,Slater,5,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
714,Gómez,5,3,55,30,1,1,0,507,2,130,124.2,143.2,69.0,33.6,3.5,5.5
739,Hürzeler,5,5,11,119,0,0,0,0,0,0,0.0,0.0,0.0,0.0,12.0,108.2
758,Knight,5,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
763,Cashin,5,2,45,1,0,0,0,19,0,-2,7.0,0.6,0.0,0.7,0.0,0.2
791,Charlie Tasker,5,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
794,Freddie Simmonds,5,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
795,Harry Howell,5,3,45,1,0,0,0,6,0,5,2.0,0.9,6.0,0.9,0.2,0.2
150,Andrey Santos,6,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
151,Ângelo,6,3,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
153,B.Badiashile,6,2,42,7,0,0,0,332,0,35,66.0,12.6,0.0,7.9,0.0,1.7
154,Bergström,6,1,39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
155,Bettinelli,6,1,39,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157,Caicedo,6,3,49,98,1,4,12,3351,4,650,627.6,568.8,95.0,129.2,3.2,20.0
158,Casadei,6,3,44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
159,Chalobah,6,2,44,93,3,1,6,1969,11,379,496.4,124.2,222.0,84.6,0.8,21.1
161,Chukwuemeka,6,3,47,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
162,Colwill,6,2,44,109,2,1,10,3150,6,461,692.0,214.3,185.0,109.4,5.8,24.8
163,Cucurella,6,2,54,133,5,2,9,2988,14,533,668.6,350.6,358.0,137.9,6.5,24.6
164,D.D.Fofana,6,4,54,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
165,Deivid,6,4,49,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
166,Dewsbury-Hall,6,3,55,18,0,1,0,257,1,71,57.4,47.4,21.0,12.6,0.2,3.3
168,Enzo,6,3,47,135,6,8,10,2943,11,691,761.6,1131.6,517.0,241.3,4.0,28.7
169,Gallagher,6,3,59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
170,Gilchrist,6,2,40,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
171,Gusto,6,2,49,60,0,1,4,1853,2,285,336.8,394.6,147.0,87.9,1.0,12.2
172,James,6,2,48,54,1,2,3,1057,5,223,207.6,202.1,56.0,46.7,4.5,11.2
173,Kellyman,6,3,43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
174,Lavia,6,3,45,26,0,1,3,792,0,125,113.2,121.7,7.0,24.4,1.8,5.8
175,Lukaku,6,4,63,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
176,M.Sarr,6,2,45,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
177,Madueke,6,3,60,120,7,5,6,2028,12,425,479.2,475.1,998.0,195.3,2.2,20.0
178,Marc Guiu,6,4,47,3,0,0,0,71,0,11,4.4,11.8,6.0,2.2,0.0,0.6
179,Mudryk,6,3,61,7,0,0,0,145,0,26,23.2,31.5,31.0,8.5,0.0,1.1
180,N.Jackson,6,4,77,121,10,6,11,2220,17,417,546.4,368.3,976.0,187.4,0.0,15.7
181,Nkunku,6,3,57,60,3,2,2,904,5,190,230.2,204.9,339.0,77.1,0.0,10.5
182,Palmer,6,3,105,214,15,10,10,3193,35,952,1068.2,1259.2,1052.0,338.0,4.2,20.4
183,Petrović,6,1,44,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
184,Renato Veiga,6,3,44,7,0,0,1,176,0,22,30.4,9.2,19.0,5.9,0.0,1.6
185,Sánchez,6,1,45,126,0,0,10,2880,11,470,755.6,20.0,0.0,77.5,4.0,28.0
