id,web_name,team,element_type,influence,creativity,threat,ict_index,total_points,minutes,now_cost
215,Ward,7,2,5.8,10.3,0.0,1.6,1,71,43
216,Wharton,7,3,261.2,381.4,69.0,71.2,42,1314,47
445,Turner,7,1,0.0,0.0,0.0,0.0,0,0,39
585,I.Sarr,7,3,675.0,618.0,866.0,215.9,149,2708,55
644,Umeh-Chibueze,7,3,0.0,0.0,0.0,0.0,0,0,44
645,Devenny,7,3,138.8,101.8,90.0,33.2,34,494,45
646,Agbinone,7,3,4.0,10.6,1.0,1.5,2,4,45
647,Rodney,7,3,0.0,0.0,0.0,0.0,0,0,45
650,Lacroix,7,2,723.8,113.7,277.0,111.4,114,3116,45
666,Kporha,7,2,8.0,4.6,0.0,1.3,2,11,40
676,Marsh,7,4,0.0,0.0,0.0,0.0,0,0,45
730,Esse,7,3,74.8,38.4,51.0,16.4,22,138,47
741,Glasner,7,5,0.0,0.0,0.0,0.0,128,0,8
156,Broja,8,4,20.2,53.8,43.0,10.9,12,327,53
217,A.Doucoure,8,3,352.6,379.4,348.0,107.6,94,2563,51
218,Beto,8,4,373.2,163.9,666.0,119.5,87,1521,48
219,Branthwaite,8,2,624.6,57.7,130.0,81.3,88,2509,49
220,Calvert-Lewin,8,4,200.2,126.1,573.0,89.2,63,1602,54
221,Coleman,8,2,42.4,3.8,23.0,7.1,5,214,43
222,Gana,8,3,522.0,327.2,117.0,96.6,89,3063,48
223,Garner,8,3,264.8,248.2,93.0,60.4,42,1590,49
224,Harrison,8,3,277.0,527.7,288.0,108.6,81,2068,52
225,Holgate,8,2,0.0,0.0,0.0,0.0,1,5,40
226,Iroegbunam,8,3,122.2,40.9,32.0,19.6,22,562,43
227,J.Virginia,8,1,0.0,0.0,0.0,0.0,0,0,38
228,Keane,8,2,306.6,23.2,123.0,45.4,48,1046,38
229,Maupay,8,4,0.0,0.0,0.0,0.0,0,0,49
230,McNeil,8,3,392.0,631.8,207.0,123.3,93,1366,51
231,Mykolenko,8,2,621.4,428.5,100.0,115.2,121,3082,44
232,Ndiaye,8,4,598.0,326.4,493.0,142.0,114,2426,52
234,Patterson,8,2,71.6,70.3,12.0,15.5,14,342,44
235,Pickford,8,1,1052.0,20.3,0.0,107.0,158,3420,52
236,Tarkowski,8,2,859.0,188.8,217.0,126.9,105,2922,47
237,Y. Chermiti,8,4,2.4,0.6,27.0,3.0,3,42,49
238,Young,8,2,431.2,388.2,46.0,86.8,98,1864,42
450,Alcaraz,8,3,219.4,205.7,227.0,65.4,44,766,47
577,Lindstrøm,8,3,214.2,309.6,237.0,76.0,44,1229,50
582,O'Brien,8,2,341.4,108.9,109.0,56.0,65,1568,45
603,Armstrong,8,3,1.8,10.9,9.0,2.2,2,47,44
614,Metcalfe,8,3,0.0,0.0,0.0,0.0,0,0,45
624,Begovic,8,1,0.0,0.0,0.0,0.0,0,0,40
627,Dixon,8,2,15.4,0.3,0.0,1.6,0,90,39
651,Mangala,8,3,172.8,133.5,106.0,41.4,39,1257,50
678,Bates,8,3,0.0,0.0,0.0,0.0,0,0,45
724,Sherif,8,4,0.0,0.0,0.0,0.0,0,0,45
742,Moyes,8,5,0.0,0.0,0.0,0.0,137,0,5
773,Heath,8,3,0.0,0.0,0.0,0.0,0,0,45
775,Coby Ebere,8,3,0.0,0.0,0.0,0.0,0,0,45
803,Welch,8,2,0.0,0.0,0.0,0.0,0,0,40
10,Nelson,9,3,131.6,223.9,195.0,55.1,27,483,50
19,Smith Rowe,9,3,433.8,422.3,386.0,124.4,114,2036,50
191,Andersen,9,2,687.6,99.0,162.0,95.0,51,2673,42
239,Adama,9,3,385.4,632.1,426.0,144.6,95,1756,45
240,Andreas,9,3,326.6,868.3,300.0,149.0,81,2004,49
241,Bassey,9,2,587.2,96.7,157.0,84.1,75,3074,45
242,Benda,9,1,0.0,0.0,0.0,0.0,0,0,39
243,Cairney,9,3,163.8,213.8,94.0,47.2,33,610,48
244,Castagne,9,2,360.4,163.6,123.0,64.9,46,1642,42
245,Diop,9,2,257.6,44.7,83.0,38.3,31,1334,43
246,Harris,9,3,0.0,0.0,0.0,0.0,0,0,45
247,Iwobi,9,3,806.8,922.4,699.0,243.0,156,2981,54
248,Leno,9,1,967.0,20.0,0.0,98.6,115,3420,50
249,Lukić,9,3,335.6,455.1,119.0,91.0,56,2348,48
250,Mbabu,9,2,0.0,0.0,0.0,0.0,0,0,40
251,Muniz,9,4,352.4,95.3,508.0,95.4,86,943,55
252,Raúl,9,4,612.8,372.2,1018.0,199.7,147,2486,53
253,Ream,9,2,0.0,0.0,0.0,0.0,0,0,45
254,Reed,9,3,18.6,20.6,33.0,7.1,10,100,47
255,Robinson,9,2,922.2,723.4,206.0,185.5,106,3166,47
256,Stansfield,9,4,0.0,0.0,0.0,0.0,1,1,50
257,Tete,9,2,381.2,192.2,158.0,73.1,49,1773,44
258,Vinicius,9,4,4.0,0.0,19.0,2.3,3,13,50
259,Wilson,9,3,334.6,310.2,440.0,107.8,78,1148,52
579,Sessegnon,9,2,284.0,158.8,227.0,67.1,57,574,42
