id,web_name,team,element_type,bonus,bps,total_points,minutes,influence,creativity,threat
259,Wilson,9,3,6,329,78,1148,334.6,310.2,440.0
579,Sessegnon,9,2,5,137,57,574,284.0,158.8,227.0
586,J.Cuenca,9,2,0,38,9,349,81.2,2.3,4.0
604,King,9,3,0,30,10,126,26.2,45.7,38.0
605,Godo,9,3,0,4,2,21,3.4,12.0,14.0
622,Berge,9,3,2,334,53,2221,314.4,285.7,51.0
690,Amissah,9,2,0,0,0,0,0.0,0.0,0.0
753,Silva,9,5,0,0,94,0,0.0,0.0,0.0
772,Willian,9,3,0,54,13,251,36.2,133.3,25.0
121,Enciso,10,3,5,224,59,1155,250.8,268.9,362.0
260,Al-Hamadi,10,4,0,15,8,125,5.6,25.7,32.0
261,Baggott,10,2,0,0,0,0,0.0,0.0,0.0
262,Broadhead,10,3,1,137,37,690,148.2,111.0,155.0
263,Burgess,10,2,0,122,26,1540,422.0,87.2,103.0
264,Burns,10,3,0,144,30,922,111.6,148.5,66.0
265,Chaplin,10,3,0,139,41,845,106.6,152.1,108.0
266,H.Clarke,10,2,0,-5,1,377,48.2,24.4,35.0
267,Davis,10,2,5,174,52,2742,486.8,865.4,145.0
268,Delap,10,4,22,472,132,2587,513.0,290.5,783.0
269,Edmundson,10,2,0,3,1,1,0.0,0.0,0.0
270,Greaves,10,2,0,171,37,2205,592.8,77.2,157.0
271,Harness,10,3,0,4,2,43,9.4,1.9,6.0
272,Hirst,10,4,3,157,46,645,146.4,64.5,207.0
273,Humphreys,10,3,0,0,0,0,0.0,0.0,0.0
274,Hutchinson,10,3,6,352,88,2585,383.2,487.5,443.0
275,Johnson,10,2,2,23,30,1346,276.6,177.2,92.0
276,Ladapo,10,4,0,0,0,0,0.0,0.0,0.0
277,Luongo,10,3,0,47,13,195,34.4,6.6,4.0
278,Morsy,10,3,5,421,67,2749,417.0,374.0,47.0
279,Ndaba,10,2,0,0,0,0,0.0,0.0,0.0
280,Slicker,10,1,0,0,0,0,0.0,0.0,0.0
281,Taylor,10,3,1,144,38,837,142.0,100.5,84.0
282,Tuanzebe,10,2,0,80,27,1710,284.4,93.4,25.0
283,Walton,10,1,2,42,16,630,163.2,10.0,0.0
284,Woolfenden,10,2,0,93,18,1187,258.4,6.7,8.0
359,Phillips,10,3,0,167,27,1231,181.8,116.2,41.0
568,Muric,10,1,5,186,49,1620,531.2,0.0,0.0
569,Jaden,10,3,3,116,37,796,159.0,98.2,190.0
583,Townsend,10,2,0,43,11,334,110.2,56.0,13.0
611,Szmodics,10,3,2,167,54,988,216.0,93.0,263.0
619,Cajuste,10,3,2,309,63,1960,284.0,209.2,59.0
630,O'Shea,10,2,1,231,49,3122,862.8,59.9,195.0
631,J.Clarke,10,3,0,221,53,1161,230.8,341.7,151.0
632,Ogbene,10,3,0,29,7,237,22.8,30.2,12.0
715,Godfrey,10,2,0,-27,-1,158,15.0,2.3,2.0
743,McKenna,10,5,0,0,51,0,0.0,0.0,0.0
764,Palmer,10,1,0,94,22,1170,356.8,10.0,0.0
799,Boniface,10,2,0,0,0,0,0.0,0.0,0.0
800,Tom Taylor,10,3,0,0,0,0,0.0,0.0,0.0
117,Buonanotte,11,3,6,299,75,1508,415.8,415.8,318.0
192,J.Ayew,11,3,3,279,75,1649,304.4,316.9,311.0
198,Edouard,11,4,0,14,7,141,5.0,25.0,50.0
285,B.Soumaré,11,3,0,327,48,2165,294.2,261.8,47.0
286,Cannon,11,4,0,0,0,0,0.0,0.0,0.0
287,Choudhury,11,3,0,29,4,129,33.8,30.4,6.0
288,Coady,11,2,3,144,39,1712,378.8,33.0,62.0
289,Daka,11,4,2,108,34,717,86.0,41.7,148.0
290,De Cordova-Reid,11,3,2,145,48,734,102.2,84.4,72.0
291,Faes,11,2,2,241,55,2812,678.0,68.5,121.0
292,Golding,11,3,0,3,1,1,0.0,0.0,0.0
293,Hermansen,11,1,1,231,63,2385,827.0,0.2,0.0
294,Iversen,11,1,0,0,0,0,0.0,0.0,0.0
295,Justin,11,2,6,218,70,2912,615.2,258.5,202.0
296,Kristiansen,11,2,0,153,34,2481,519.4,358.6,40.0
297,Marcal,11,3,0,0,0,0,0.0,0.0,0.0
298,Mavididi,11,3,5,270,72,1606,339.2,375.3,302.0
299,McAteer,11,3,0,125,35,846,147.2,132.5,184.0
300,Ndidi,11,3,1,375,64,2325,546.4,302.2,280.0
301,Okoli,11,2,1,106,27,1122,318.6,15.2,73.0
302,Ricardo,11,2,0,46,10,382,67.8,18.7,19.0
303,Souttar,11,2,0,0,0,0,0.0,0.0,0.0
304,Stolarczyk,11,1,0,104,25,900,228.4,0.0,0.0
