id,web_name,team,element_type,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,goals_scored,assists,minutes,now_cost
194,C.Richards,7,2,1.33,0.60,1.93,29.78,1,1,1921,44
195,Chadi Riad,7,2,0.00,0.02,0.02,1.39,0,0,90,43
196,Clyne,7,2,0.02,0.24,0.26,10.11,0,0,477,43
197,Ebiowei,7,3,0.00,0.00,0.00,0.00,0,0,0,45
199,Eze,7,3,10.39,4.67,15.06,35.03,8,8,2588,70
200,Guéhi,7,2,1.87,2.01,3.88,41.55,3,2,3059,47
201,Henderson,7,1,0.01,0.02,0.03,50.33,0,0,3420,46
202,Holding,7,2,0.00,0.00,0.00,0.00,0,0,0,42
203,Hughes,7,3,1.09,2.64,3.73,31.64,0,4,2100,49
205,Kamada,7,3,1.12,1.55,2.67,25.74,0,0,1545,51
206,Lerma,7,3,1.07,1.75,2.82,33.55,0,1,2270,48
207,Mateta,7,4,13.77,2.28,16.05,37.94,14,2,2642,75
208,M.França,7,3,0.28,0.18,0.46,0.40,1,0,52,44
209,Matthews,7,1,0.00,0.00,0.00,0.00,0,0,0,39
210,Mitchell,7,2,1.31,3.67,4.98,46.45,0,6,3090,48
211,Muñoz,7,2,4.92,3.46,8.38,46.30,4,6,3229,52
212,Ozoh,7,3,0.00,0.00,0.00,0.00,0,0,0,45
213,Rak-Sakyi,7,3,0.00,0.00,0.00,0.00,0,0,0,45
214,Schlupp,7,3,0.17,0.14,0.31,1.53,0,0,95,46
215,Ward,7,2,0.00,0.01,0.01,1.57,0,0,71,43
216,Wharton,7,3,0.38,2.17,2.55,19.34,0,2,1314,47
445,Turner,7,1,0.00,0.00,0.00,0.00,0,0,0,39
585,I.Sarr,7,3,10.82,6.82,17.64,38.63,8,7,2708,55
644,Umeh-Chibueze,7,3,0.00,0.00,0.00,0.00,0,0,0,44
645,Devenny,7,3,0.77,0.41,1.18,9.30,1,1,494,45
646,Agbinone,7,3,0.02,0.01,0.03,0.00,0,0,4,45
647,Rodney,7,3,0.00,0.00,0.00,0.00,0,0,0,45
650,Lacroix,7,2,3.50,1.01,4.51,44.59,1,2,3116,45
666,Kporha,7,2,0.00,0.02,0.02,0.06,0,0,11,40
676,Marsh,7,4,0.00,0.00,0.00,0.00,0,0,0,45
730,Esse,7,3,0.32,0.39,0.71,2.15,1,2,138,47
741,Glasner,7,5,0.00,0.00,0.00,0.00,0,0,0,8
156,Broja,8,4,0.11,0.11,0.22,3.82,0,0,327,53
217,A.Doucoure,8,3,4.15,1.41,5.56,34.38,3,2,2563,51
218,Beto,8,4,7.89,0.44,8.33,18.80,8,0,1521,48
219,Branthwaite,8,2,1.20,0.61,1.81,29.83,0,1,2509,49
220,Calvert-Lewin,8,4,6.53,0.63,7.16,24.83,3,2,1602,54
221,Coleman,8,2,0.62,0.03,0.65,4.45,0,0,214,43
222,Gana,8,3,1.15,1.99,3.14,39.88,0,3,3063,48
223,Garner,8,3,0.67,1.37,2.04,19.71,0,1,1590,49
224,Harrison,8,3,3.54,3.12,6.66,31.23,1,3,2068,52
225,Holgate,8,2,0.00,0.00,0.00,0.07,0,0,5,40
226,Iroegbunam,8,3,0.23,0.14,0.37,12.25,0,1,562,43
227,J.Virginia,8,1,0.00,0.00,0.00,0.00,0,0,0,38
228,Keane,8,2,0.61,0.02,0.63,19.16,3,0,1046,38
229,Maupay,8,4,0.00,0.00,0.00,0.00,0,0,0,49
230,McNeil,8,3,1.05,4.49,5.53,21.12,4,8,1366,51
231,Mykolenko,8,2,0.48,2.12,2.60,39.81,1,3,3082,44
232,Ndiaye,8,4,6.23,1.36,7.59,29.01,9,0,2426,52
234,Patterson,8,2,0.07,0.38,0.45,4.48,0,1,342,44
235,Pickford,8,1,0.00,0.22,0.22,46.11,0,1,3420,52
236,Tarkowski,8,2,1.32,2.33,3.65,39.30,1,1,2922,47
237,Y. Chermiti,8,4,0.11,0.00,0.11,0.47,0,0,42,49
238,Young,8,2,0.27,2.87,3.14,26.17,1,4,1864,42
450,Alcaraz,8,3,1.78,0.68,2.46,11.33,2,3,766,47
577,Lindstrøm,8,3,2.15,1.96,4.11,13.37,0,1,1229,50
582,O'Brien,8,2,0.77,0.31,1.08,18.63,2,0,1568,45
603,Armstrong,8,3,0.37,0.00,0.37,0.45,0,0,47,44
614,Metcalfe,8,3,0.00,0.00,0.00,0.00,0,0,0,45
624,Begovic,8,1,0.00,0.00,0.00,0.00,0,0,0,40
627,Dixon,8,2,0.00,0.00,0.00,2.43,0,0,90,39
651,Mangala,8,3,1.13,0.59,1.72,16.64,1,0,1257,50
678,Bates,8,3,0.00,0.00,0.00,0.00,0,0,0,45
724,Sherif,8,4,0.00,0.00,0.00,0.00,0,0,0,45
742,Moyes,8,5,0.00,0.00,0.00,0.00,0,0,0,5
773,Heath,8,3,0.00,0.00,0.00,0.00,0,0,0,45
775,Coby Ebere,8,3,0.00,0.00,0.00,0.00,0,0,0,45
803,Welch,8,2,0.00,0.00,0.00,0.00,0,0,0,40
10,Nelson,9,3,1.07,0.96,2.03,6.13,1,1,483,50
19,Smith Rowe,9,3,4.45,2.04,6.49,25.35,6,3,2036,50
191,Andersen,9,2,1.04,0.57,1.61,37.85,0,0,2673,42
239,Adama,9,3,4.11,4.61,8.72,25.17,2,8,1756,45
240,Andreas,9,3,4.24,4.63,8.87,27.35,2,6,2004,49
241,Bassey,9,2,1.02,0.42,1.44,39.22,1,0,3074,45
242,Benda,9,1,0.00,0.00,0.00,0.00,0,0,0,39
243,Cairney,9,3,0.73,1.14,1.87,9.59,2,0,610,48
244,Castagne,9,2,0.38,0.56,0.94,22.39,0,1,1642,42
245,Diop,9,2,0.51,0.07,0.58,19.98,0,0,1334,43
246,Harris,9,3,0.00,0.00,0.00,0.00,0,0,0,45
247,Iwobi,9,3,4.33,6.90,11.23,38.06,9,6,2981,54
248,Leno,9,1,0.00,0.03,0.03,47.75,0,2,3420,50
249,Lukić,9,3,1.16,1.40,2.56,33.02,0,2,2348,48
250,Mbabu,9,2,0.00,0.00,0.00,0.00,0,0,0,40
251,Muniz,9,4,5.91,0.20,6.11,15.28,8,1,943,55
252,Raúl,9,4,11.97,2.07,14.04,33.49,12,3,2486,53
253,Ream,9,2,0.00,0.00,0.00,0.00,0,0,0,45
254,Reed,9,3,0.23,0.09,0.32,4.62,0,0,100,47
255,Robinson,9,2,0.70,4.17,4.87,44.79,0,10,3166,47
256,Stansfield,9,4,0.00,0.00,0.00,0.67,0,0,1,50
257,Tete,9,2,1.37,0.65,2.02,25.50,0,2,1773,44
258,Vinicius,9,4,0.06,0.00,0.06,0.11,0,0,13,50
259,Wilson,9,3,4.19,1.17,5.36,16.22,6,2,1148,52
579,Sessegnon,9,2,1.64,1.12,2.76,8.20,4,2,574,42
586,J.Cuenca,9,2,0.02,0.01,0.03,8.99,0,0,349,44
604,King,9,3,0.28,0.67,0.95,0.74,0,0,126,44
605,Godo,9,3,0.00,0.07,0.07,0.15,0,0,21,44
622,Berge,9,3,0.45,0.63,1.08,30.81,0,0,2221,50
690,Amissah,9,2,0.00,0.00,0.00,0.00,0,0,0,40
753,Silva,9,5,0.00,0.00,0.00,0.00,0,0,0,11
772,Willian,9,3,0.28,0.72,1.00,4.45,0,0,251,50
121,Enciso,10,3,2.82,1.32,4.14,22.10,2,3,1155,54
260,Al-Hamadi,10,4,0.35,0.04,0.39,3.84,0,0,125,47
261,Baggott,10,2,0.00,0.00,0.00,0.00,0,0,0,40
262,Broadhead,10,3,1.74,1.05,2.79,11.72,2,0,690,49
263,Burgess,10,2,1.08,0.34,1.42,35.17,0,2,1540,38
264,Burns,10,3,0.50,1.17,1.67,23.62,0,1,922,47
265,Chaplin,10,3,1.52,0.61,2.13,17.93,1,2,845,51
266,H.Clarke,10,2,0.08,0.10,0.18,9.10,0,0,377,40
267,Davis,10,2,0.98,4.74,5.72,60.70,1,2,2742,42
268,Delap,10,4,9.44,1.38,10.82,53.60,12,2,2587,56
269,Edmundson,10,2,0.00,0.00,0.00,0.00,0,0,1,40
270,Greaves,10,2,1.31,0.21,1.52,45.51,1,0,2205,38
271,Harness,10,3,0.00,0.05,0.05,1.36,0,0,43,49
