id,web_name,team,element_type,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,minutes
263,Burgess,10,2,0,37,0,0,0,0,0,0,1540
264,Burns,10,3,1,23,0,0,1,0,0,0,922
265,Chaplin,10,3,1,19,0,0,2,0,0,0,845
266,H.Clarke,10,2,0,10,1,0,1,1,0,0,377
267,Davis,10,2,2,71,0,0,5,1,0,5,2742
268,Delap,10,4,3,58,0,0,12,0,0,22,2587
269,Edmundson,10,2,0,0,0,0,0,0,0,0,1
270,Greaves,10,2,2,53,0,0,5,0,0,0,2205
271,Harness,10,3,0,2,0,0,0,0,0,0,43
272,Hirst,10,4,0,16,0,0,3,0,0,3,645
273,Humphreys,10,3,0,0,0,0,0,0,0,0,0
274,Hutchinson,10,3,3,61,0,0,5,0,0,6,2585
275,Johnson,10,2,0,39,0,0,3,1,0,2,1346
276,Ladapo,10,4,0,0,0,0,0,0,0,0,0
277,Luongo,10,3,0,6,0,0,0,0,0,0,195
278,Morsy,10,3,2,67,1,0,10,0,0,5,2749
279,Ndaba,10,2,0,0,0,0,0,0,0,0,0
280,Slicker,10,1,0,0,0,0,0,0,0,0,0
281,Taylor,10,3,0,21,0,0,4,0,0,1,837
282,Tuanzebe,10,2,1,38,1,0,3,1,0,0,1710
283,Walton,10,1,1,19,0,0,0,0,20,2,630
284,Woolfenden,10,2,1,28,0,0,2,0,0,0,1187
359,Phillips,10,3,1,30,0,0,4,1,0,0,1231
568,Muric,10,1,1,33,0,0,1,0,70,5,1620
569,Jaden,10,3,2,22,0,0,3,1,0,3,796
583,Townsend,10,2,0,6,0,0,1,0,0,0,334
611,Szmodics,10,3,2,18,0,0,2,0,0,2,988
619,Cajuste,10,3,1,46,0,0,2,0,0,2,1960
630,O'Shea,10,2,2,75,0,0,6,0,0,1,3122
631,J.Clarke,10,3,1,31,0,0,2,0,0,0,1161
632,Ogbene,10,3,0,3,0,0,0,0,0,0,237
715,Godfrey,10,2,0,10,0,0,1,0,0,0,158
743,McKenna,10,5,0,0,0,0,0,0,0,0,0
764,Palmer,10,1,0,30,0,0,2,0,45,0,1170
799,Boniface,10,2,0,0,0,0,0,0,0,0,0
800,Tom Taylor,10,3,0,0,0,0,0,0,0,0,0
117,Buonanotte,11,3,2,33,0,0,8,0,0,6,1508
192,J.Ayew,11,3,4,42,0,0,6,0,0,3,1649
198,Edouard,11,4,0,3,0,0,0,0,0,0,141
285,B.Soumaré,11,3,1,52,0,0,8,0,0,0,2165
286,Cannon,11,4,0,0,0,0,0,0,0,0,0
287,Choudhury,11,3,0,5,0,0,0,0,0,0,129
288,Coady,11,2,2,42,0,0,3,0,0,3,1712
289,Daka,11,4,1,16,0,0,0,0,0,2,717
290,De Cordova-Reid,11,3,1,17,0,0,2,0,0,2,734
291,Faes,11,2,3,63,0,0,4,0,0,2,2812
292,Golding,11,3,0,0,0,0,0,0,0,0,1
293,Hermansen,11,1,1,58,0,1,1,0,103,1,2385
294,Iversen,11,1,0,0,0,0,0,0,0,0,0
295,Justin,11,2,3,68,0,0,6,0,0,6,2912
296,Kristiansen,11,2,1,62,1,0,1,0,0,0,2481
297,Marcal,11,3,0,0,0,0,0,0,0,0,0
298,Mavididi,11,3,1,38,0,0,2,0,0,5,1606
299,McAteer,11,3,3,16,0,0,3,0,0,0,846
300,Ndidi,11,3,3,48,1,0,8,0,0,1,2325
301,Okoli,11,2,1,26,0,0,4,0,0,1,1122
302,Ricardo,11,2,0,8,0,0,1,0,0,0,382
303,Souttar,11,2,0,0,0,0,0,0,0,0,0
304,Stolarczyk,11,1,2,16,0,0,1,0,28,0,900
305,Thomas,11,2,3,23,0,0,3,0,0,0,1109
306,Vardy,11,4,4,68,0,0,5,0,0,18,2825
307,Vestergaard,11,2,0,35,1,0,5,0,0,0,1390
308,Ward,11,1,0,6,0,0,0,0,4,0,135
309,Winks,11,3,0,34,0,0,4,0,0,0,1536
501,Skipp,11,3,3,26,0,0,8,0,0,0,1118
570,A.Fatawu,11,3,0,14,0,0,0,0,0,3,576
606,Alves,11,3,0,0,0,0,0,0,0,0,1
616,Nelson,11,2,0,0,0,0,0,0,0,0,0
635,El Khannouss,11,3,3,54,0,0,4,0,0,6,2179
694,Cartwright,11,3,0,0,0,0,0,0,0,0,0
708,Wilson-Brown,11,2,0,0,0,0,0,0,0,0,0
726,Coulibaly,11,2,0,6,0,0,1,0,0,0,107
754,Van Nistelrooy,11,5,0,0,0,0,0,0,0,0,0
792,Monga,11,3,0,3,0,0,0,0,0,0,105
796,Olabade Aluko,11,2,0,0,0,0,0,0,0,0,1
797,Jake Evans,11,3,0,1,0,0,0,0,0,0,21
802,Braybrooke,11,3,0,0,0,0,0,0,0,0,0
310,A.Becker,12,1,10,29,0,0,0,0,78,9,2508
311,Alexander-Arnold,12,2,12,25,0,0,5,0,0,13,2362
312,Bajcetic,12,3,0,0,0,0,0,0,0,0,0
313,Bradley,12,2,3,10,0,0,4,0,0,3,744
315,Clark,12,3,0,0,0,0,0,0,0,0,0
316,Darwin,12,4,2,21,0,0,8,0,0,6,1113
317,Diogo J.,12,3,7,12,0,0,2,0,0,4,1182
