id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,value_form,value_season,total_points,points_per_game,selected_by_percent,transfers_in,transfers_out,transfers_in_event,transfers_out_event
668,Cahill,5,1,39,-1,0,0.0,0.0,0,0.0,0.9,183556,101541,0,0
681,McConville,5,2,40,0,0,0.0,0.0,0,0.0,0.0,1473,1598,0,0
685,Slater,5,2,40,0,0,0.0,0.0,0,0.0,0.0,3069,2307,0,0
714,Gómez,5,3,55,0,0,0.6,5.5,30,1.9,0.0,2664,1792,0,0
739,Hürzeler,5,5,11,0,0,10.9,108.2,119,0.0,2.3,67399,31537,0,0
758,Knight,5,3,45,0,0,0.0,0.0,0,0.0,0.0,629,377,0,0
763,Cashin,5,2,45,0,0,0.0,0.2,1,0.5,0.0,2334,1469,0,0
791,Charlie Tasker,5,2,40,0,0,0.0,0.0,0,0.0,0.0,248,108,0,0
794,Freddie Simmonds,5,2,40,0,0,0.0,0.0,0,0.0,0.0,148,64,0,0
795,Harry Howell,5,3,45,0,0,0.0,0.2,1,1.0,0.0,157,48,0,0
150,Andrey Santos,6,3,45,0,0,0.0,0.0,0,0.0,0.0,0,631,0,0
151,Ângelo,6,3,45,0,0,0.0,0.0,0,0.0,0.1,5940,30655,0,0
153,B.Badiashile,6,2,42,-3,0,0.0,1.7,7,1.4,0.1,12686,22025,0,0
154,Bergström,6,1,39,-1,0,0.0,0.0,0,0.0,0.2,25963,28478,0,0
155,Bettinelli,6,1,39,-1,0,0.0,0.0,0,0.0,0.4,34216,36904,0,0
157,Caicedo,6,3,49,-1,0,0.7,20.0,98,2.6,1.0,294654,289677,0,0
158,Casadei,6,3,44,-1,0,0.0,0.0,0,0.0,0.1,23729,31224,0,0
159,Chalobah,6,2,44,-1,0,0.2,21.1,93,3.7,0.7,279303,230679,0,0
161,Chukwuemeka,6,3,47,-3,0,0.0,0.0,0,0.0,0.0,4843,8839,0,0
162,Colwill,6,2,44,-1,0,1.3,24.8,109,3.1,2.4,1105860,958654,0,0
163,Cucurella,6,2,54,4,0,1.2,24.6,133,3.7,11.8,2224687,1662071,0,0
164,D.D.Fofana,6,4,54,-1,0,0.0,0.0,0,0.0,0.1,4727,15354,0,0
165,Deivid,6,4,49,-1,0,0.0,0.0,0,0.0,0.1,17623,23659,0,0
166,Dewsbury-Hall,6,3,55,-5,0,0.0,3.3,18,1.4,0.1,8266,28271,0,0
168,Enzo,6,3,47,-3,0,0.9,28.7,135,3.8,4.1,1865471,1635475,0,0
169,Gallagher,6,3,59,-1,0,0.0,0.0,0,0.0,0.1,1567,72833,0,0
170,Gilchrist,6,2,40,0,0,0.0,0.0,0,0.0,0.0,0,7629,0,0
171,Gusto,6,2,49,-1,0,0.2,12.2,60,1.9,1.4,368106,563610,0,0
172,James,6,2,48,-2,0,0.9,11.2,54,2.8,1.1,297018,211689,0,0
173,Kellyman,6,3,43,-2,0,0.0,0.0,0,0.0,0.1,16024,14665,0,0
174,Lavia,6,3,45,0,0,0.4,5.8,26,1.6,0.4,191344,265669,0,0
175,Lukaku,6,4,63,-2,0,0.0,0.0,0,0.0,0.2,8049,61765,0,0
176,M.Sarr,6,2,45,0,0,0.0,0.0,0,0.0,0.0,0,457,0,0
177,Madueke,6,3,60,-5,0,0.4,20.0,120,3.8,3.2,2492829,2378242,0,0
178,Marc Guiu,6,4,47,-3,0,0.0,0.6,3,1.0,0.5,114268,161747,0,0
179,Mudryk,6,3,61,-4,0,0.0,1.1,7,1.0,0.2,18933,44003,0,0
180,N.Jackson,6,4,77,2,0,0.0,15.7,121,4.0,6.2,5372437,5139743,0,0
181,Nkunku,6,3,57,-8,0,0.0,10.5,60,2.2,2.0,423231,1768345,0,0
182,Palmer,6,3,105,0,0,0.4,20.4,214,5.8,34.3,7552330,7950784,0,0
183,Petrović,6,1,44,-1,0,0.0,0.0,0,0.0,0.1,2753,64997,0,0
184,Renato Veiga,6,3,44,-1,0,0.0,1.6,7,1.0,0.1,41967,45887,0,0
185,Sánchez,6,1,45,0,0,0.9,28.0,126,3.9,6.2,2374350,2101220,0,0
187,Tosin,6,2,42,-3,0,0.8,16.9,71,3.2,0.3,101592,94547,0,0
189,W.Fofana,6,2,43,-2,0,0.0,6.0,26,1.9,0.2,86707,109766,0,0
386,Sancho,6,3,62,-3,0,0.2,13.9,86,2.8,0.9,513047,498708,0,0
560,Neto,6,3,61,-4,0,0.7,17.0,104,3.0,1.4,588496,571738,0,0
575,Wiley,6,2,40,0,0,0.0,0.0,0,0.0,0.0,0,3964,0,0
581,Jørgensen,6,1,42,-3,0,0.0,4.3,18,3.0,0.4,122385,123731,0,0
