id,web_name,team,element_type,now_cost,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,total_points,selected_by_percent
272,Hirst,10,4,54,-1,0,1,0,46,0.1
273,Humphreys,10,3,45,0,0,0,0,0,0.0
274,Hutchinson,10,3,52,-3,0,3,0,88,0.3
275,Johnson,10,2,38,-2,0,2,0,30,1.9
276,Ladapo,10,4,45,0,0,0,0,0,0.4
277,Luongo,10,3,43,-2,0,2,0,13,0.2
278,Morsy,10,3,48,-2,0,2,0,67,0.1
279,Ndaba,10,2,40,0,0,0,0,0,0.0
280,Slicker,10,1,39,-1,0,1,0,0,0.6
281,Taylor,10,3,48,-2,0,2,0,38,0.0
282,Tuanzebe,10,2,39,-1,0,1,0,27,1.2
283,Walton,10,1,43,-2,0,2,0,16,0.2
284,Woolfenden,10,2,39,-1,0,1,0,18,1.2
359,Phillips,10,3,48,-2,0,2,0,27,0.1
568,Muric,10,1,44,-1,0,1,0,49,0.4
569,Jaden,10,3,53,-2,0,2,0,37,0.1
583,Townsend,10,2,39,-1,0,1,0,11,0.5
611,Szmodics,10,3,57,-3,0,3,0,54,0.1
619,Cajuste,10,3,45,0,0,0,0,63,0.1
630,O'Shea,10,2,38,-2,0,2,0,49,1.2
631,J.Clarke,10,3,54,-1,0,1,0,53,0.0
632,Ogbene,10,3,48,-2,0,2,0,7,0.0
715,Godfrey,10,2,40,0,0,0,0,-1,0.0
743,McKenna,10,5,5,0,0,0,0,51,0.4
764,Palmer,10,1,45,0,0,0,0,22,0.1
799,Boniface,10,2,40,0,0,0,0,0,0.0
800,Tom Taylor,10,3,45,0,0,0,0,0,0.0
117,Buonanotte,11,3,45,-5,0,5,0,75,0.4
192,J.Ayew,11,3,51,-4,0,4,0,75,0.2
198,Edouard,11,4,51,-4,0,4,0,7,0.2
285,B.Soumaré,11,3,44,-1,0,1,0,48,0.3
286,Cannon,11,4,45,0,0,0,0,0,0.3
287,Choudhury,11,3,44,-1,0,1,0,4,1.0
288,Coady,11,2,40,0,0,0,0,39,0.5
289,Daka,11,4,48,-2,0,2,0,34,0.5
290,De Cordova-Reid,11,3,52,-3,0,3,0,48,0.1
291,Faes,11,2,38,-2,0,2,0,55,5.2
