id,web_name,team,now_cost,total_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,minutes,form,points_per_game
694,Cartwright,11,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
792,Monga,11,45,7,0,0,0,0,0,0,29,20.6,12.6,19.0,5.1,105,1.0,1.0
797,Jake Evans,11,45,4,0,0,0,0,0,0,13,3.2,0.2,0.0,0.3,21,0.8,1.0
802,Braybrooke,11,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
312,Bajcetic,12,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
315,Clark,12,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
317,Diogo J.,12,72,87,6,4,7,2,0,4,225,300.6,169.5,537.0,99.0,1182,0.8,3.3
318,Doak,12,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
319,Elliott,12,52,33,1,2,0,1,0,3,120,118.6,145.8,143.0,40.4,359,4.2,1.8
320,Endo,12,46,21,0,0,0,0,0,0,82,57.6,38.2,6.0,10.0,259,1.0,1.1
323,Gravenberch,12,50,92,0,4,14,5,1,1,568,550.6,473.9,121.0,114.7,3160,0.8,2.5
324,Jones,12,53,87,3,5,6,1,1,4,396,397.2,343.7,400.0,113.6,1702,1.8,2.6
327,Luis Díaz,12,75,183,13,7,15,2,0,21,634,770.8,748.0,946.0,246.4,2393,2.8,5.1
328,M.Salah,12,136,344,29,18,15,1,0,55,1133,1577.0,1199.2,1985.0,476.0,3374,4.0,9.1
329,Mac Allister,12,62,122,5,6,14,6,0,8,578,653.4,731.3,357.0,174.1,2597,1.2,3.5
330,McConnell,12,43,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
331,Morton,12,44,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
336,Szoboszlai,12,61,143,6,10,12,6,0,14,605,589.8,794.8,601.0,198.1,2485,3.8,4.0
636,Chiesa,12,68,7,0,0,0,0,0,0,16,9.0,23.5,36.0,6.7,103,0.8,1.2
688,Nyoni,12,45,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
342,Bernardo,13,61,110,4,4,10,7,0,13,568,603.0,800.4,532.0,193.6,2667,5.0,3.3
343,Bobb,13,47,3,0,0,0,0,0,0,13,4.4,12.6,0.0,1.6,14,0.2,1.0
345,De Bruyne,13,95,114,4,9,10,2,0,12,462,466.6,920.0,411.0,179.5,1694,4.5,4.1
346,Doku,13,62,88,3,6,8,1,0,3,425,453.8,515.9,528.0,150.0,1506,2.8,3.0
348,Foden,13,91,105,7,3,6,2,0,10,454,448.0,749.0,449.0,164.2,1771,1.2,3.8
